mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
nonsemantic,200,Stochastic,1,38.0,18697.49680144887,13.537565160656946,81.88110208666849,198.5367306215575,0.0,0.0,1.0,1.0,-15.043732975380422,,,0.0,,,,,,38.0
nonsemantic,200,Stochastic,2,35.0,28510.69766691603,22.234785005730075,124.81929974297397,177.3640146174682,0.0,0.0,1.0,1.0,-14.271547000818074,,,0.0,,,,,,35.0
nonsemantic,200,Stochastic,3,47.0,24798.381219942832,19.044605886301028,108.21815460534691,165.44272144672993,0.0,0.0,1.0,1.0,-15.909936062075747,,,0.0,,,,,,47.0
nonsemantic,200,Stochastic,4,48.0,23258.031072213085,17.868273283683116,101.69632471629852,153.53492086158423,0.0,0.0,1.0,1.0,-17.05840291666911,,,0.0,,,,,,48.0
nonsemantic,200,Stochastic,5,47.0,24919.7933606671,19.1880516545144,108.86382352244527,161.56563042138848,0.0,0.0,1.0,1.0,-14.557551206213784,,,0.0,,,,,,47.0
nonsemantic,200,Stochastic,6,42.0,31757.114997560242,25.00372123272973,138.93147215398517,182.51505000529448,0.0,0.0,1.0,1.0,-13.998179487552669,,,0.0,,,,,,42.0
nonsemantic,200,Stochastic,7,61.0,25131.500059470018,19.143131525914395,109.81158812734984,191.09060842334523,0.0,0.0,1.0,1.0,-16.070255284485352,,,0.0,,,,,,61.0
nonsemantic,200,Stochastic,8,49.0,23148.989107942416,17.726678544556478,101.01602549838549,149.156265946693,0.0,0.0,1.0,1.0,-15.90610094217621,,,0.0,,,,,,49.0
nonsemantic,200,Stochastic,9,26.0,32796.58931905272,25.912484498925036,142.40762858977226,178.08680684374966,0.0,0.0,1.0,1.0,-17.31920508963157,,,0.0,,,,,,26.0
nonsemantic,200,LinUCB,0,46.0,25297.00816718978,20.32571660059857,111.19594917697628,87.63646325957771,0.0,0.0,1.0,1.0,-17.247397861725915,,,0.0,,,,,,46.0
nonsemantic,200,LinUCB,1,50.0,23448.519947856516,18.567333072968474,103.07972799894374,103.45786413163907,0.0,0.0,1.0,1.0,-15.996018104121422,,,0.0,,,,,,50.0
nonsemantic,200,LinUCB,2,57.0,21161.378257365126,16.431200140719227,92.73914826751493,116.73894214989467,0.0,0.0,1.0,1.0,-15.946350385109751,,,0.0,,,,,,57.0
nonsemantic,200,LinUCB,3,60.0,15355.145898908491,11.512185086789207,67.62522790805937,106.28907500323085,0.0,0.0,1.0,1.0,-13.233187676614662,,,0.0,,,,,,60.0
