mode,area,policy,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
adaptive_semantic,100,MCTS,198.8,1708.483964762821,0.8408369190104941,7.777646688630453,37.13926827028186,149.8,55.4,0.8987066459134396,0.2690575933738997,-12.026450030531198,0.0,76.1,0.0,,6.1,35.7,23.8,8.1,49.0
adaptive_semantic,200,Stochastic,60.5,19155.28444088832,14.34668128433862,84.21013563387353,173.57480693701297,16.8,7.3,0.9579644247495553,0.7241600494393643,-16.345166187073822,0.0,10.7,0.0,,1.3,3.2,1.1,0.5,43.7
adaptive_semantic,200,LinUCB,154.8,3767.1701139038755,1.5566872053042862,17.422415706284212,138.9087383241901,114.8,45.4,0.8985653845698257,0.2746737315219872,-12.864666345245217,0.0,55.8,0.0,,1.6,35.9,17.3,4.2,40.0
adaptive_semantic,200,SA,90.5,11353.907411195938,7.782170559171088,50.00057905329257,168.43177336952905,52.6,24.6,0.914383983591431,0.43115539120710383,-16.024830166094112,0.0,30.6,0.0,,1.0,14.5,5.0,1.5,37.9
adaptive_semantic,200,Greedy,208.2,1207.0224672777056,0.585222445981966,5.764344893016427,21.19905942244581,128.2,0.0,0.938658689634828,0.4174843917122595,-2.982640647336211,0.0,32.1,0.0,,11.9,30.1,32.6,21.5,80.0
adaptive_semantic,200,MCTS,191.6,2176.6359468731052,0.9464131771176548,10.18498920120383,65.43890751793869,142.2,53.6,0.9157650358670489,0.2881627254316808,-9.052824547373545,0.0,47.0,0.0,,8.9,40.0,31.7,14.6,49.4
adaptive_semantic,300,Stochastic,78.6,14937.7661489294,9.93248337018522,65.82886530337285,281.1765758484319,21.1,11.2,0.9651603401313622,0.7419299994192678,-13.750681821504212,0.0,10.0,0.0,,0.7,4.8,3.9,1.7,57.5
adaptive_semantic,300,LinUCB,155.5,4283.492115340697,1.651105402795137,19.958027938680665,186.36147912461044,98.7,40.5,0.9222371652732152,0.38523749657509737,-9.90676152317632,0.0,37.4,0.0,,3.4,31.1,19.2,7.6,56.8
adaptive_semantic,300,SA,103.2,10012.689852067964,6.080601453852845,44.41204761166542,248.22521171813622,54.4,26.7,0.9293638819014962,0.48812679547707527,-13.506307084759873,0.0,25.7,0.0,,1.8,16.2,8.3,2.4,48.8
adaptive_semantic,300,Greedy,211.7,1276.5694621551334,0.6061919531176356,6.264724071913109,26.81000366933224,142.2,0.0,0.9402390651500492,0.3711804779937486,-3.51215350817197,0.0,25.5,0.0,,17.8,32.5,35.6,30.8,69.5
adaptive_semantic,300,MCTS,183.6,2528.9507026166775,0.9319075230884065,11.983609502947564,95.25062919191244,122.7,44.3,0.9266186273813931,0.36015563570407555,-7.5109758148343655,0.0,37.3,0.0,,8.6,33.7,30.9,12.2,60.9
adaptive_semantic,400,Stochastic,86.7,12197.014879881892,7.090357651176925,54.169553708961,373.5931441113015,23.2,12.7,0.9705440389082641,0.7506472901092793,-12.170023726158808,0.0,8.0,0.0,,2.8,5.9,4.1,2.4,63.5
adaptive_semantic,400,LinUCB,151.2,4734.071108882715,1.7636221284054454,22.230309436896942,234.33123273207238,95.5,41.0,0.9232540782633591,0.3905435998550288,-10.131537377774686,0.0,35.7,0.0,,4.7,30.7,16.9,7.5,55.7
adaptive_semantic,400,SA,117.7,8209.45615935259,4.045311451740022,36.608568294258255,322.2269624439934,59.7,29.2,0.939765368481772,0.5098247086488166,-11.07858235649785,0.0,21.1,0.0,,3.1,18.6,12.6,4.3,58.0
adaptive_semantic,400,Greedy,203.5,1402.9313951164208,0.6046667399512917,6.913934823279381,34.758821294595236,130.6,0.0,0.9471034802840552,0.40540058051745653,-1.6551662143108796,0.0,20.5,0.0,,18.0,23.0,34.5,34.6,72.9
adaptive_semantic,400,MCTS,176.4,2709.17741000363,0.9045159961931235,12.900438109371004,116.91796459438599,113.5,40.2,0.9352939442567351,0.39099277049019887,-6.146579157412229,0.0,27.9,0.0,,11.0,30.1,28.3,16.2,62.9
adaptive_semantic,500,Stochastic,87.5,12731.153704815317,7.036549353250701,56.72257268541697,464.2294080344794,20.4,11.3,0.9750674921410323,0.7797774952521346,-11.374757172585333,0.0,5.6,0.0,,2.0,6.5,3.4,2.9,67.1
adaptive_semantic,500,LinUCB,145.5,5608.315574370186,2.0720599900346572,26.49400824484486,311.13457948222197,89.8,38.8,0.9258871421822052,0.4038220350057246,-9.890224787814727,0.0,33.1,0.0,,4.3,26.0,19.5,6.9,55.7
adaptive_semantic,500,SA,107.1,8860.006465222581,4.149354465640548,39.88819791958354,417.2237059272202,55.2,26.9,0.9380722096219245,0.4964511647691162,-11.232946427173374,0.0,19.2,0.0,,2.0,16.3,13.4,4.3,51.9
adaptive_semantic,500,Greedy,203.2,1423.043705095752,0.595911461527452,7.160866251358989,38.91600480494509,133.4,0.0,0.9478382519162585,0.39242014947073084,-1.8526100988013812,0.0,17.6,0.0,,19.9,24.2,36.1,35.6,69.8
adaptive_semantic,500,MCTS,174.3,2979.337639212547,0.9418072894325356,14.305481383987038,145.48010126498102,109.4,40.3,0.9358766635962497,0.40268466098595557,-6.5157043024866095,0.0,27.2,0.0,,8.7,30.0,28.8,14.7,64.9
