epoch,train_loss,train_ce,train_dice,train_rgb_l1,train_rgb_ssim,val_loss,val_mean_iou,val_pixel_accuracy,val_psnr_db,val_ssim,learning_rate,global_step,sampled_rate_counts_json
11,1.48703763272582,0.9403670887987153,0.7318258692837563,0.0741773454531902,0.42632105318438107,1.6005348691940307,0.2591262715720239,0.8129298648056423,18.035324630050592,0.5519216043949127,0.00015300000000000006,2046,"{""120"": 2975, ""20"": 2975, ""40"": 924, ""60"": 1071, ""80"": 980}"
12,1.4623822593688964,0.9184920469853056,0.7273932325138766,0.07360211425468702,0.4263659167990965,1.58579238986969,0.27494475479166197,0.8146759078189171,17.97793973059289,0.5557055964469909,0.00013000413363908615,2232,"{""120"": 2975, ""20"": 2975, ""40"": 984, ""60"": 1095, ""80"": 896}"
13,1.4336567887137919,0.8952543733901337,0.7221092362764503,0.0718305335500661,0.42206905097520653,1.5534544944763184,0.284325154058876,0.8215447665424126,18.206053512127575,0.5616007037162781,0.00010757450182688277,2418,"{""120"": 2975, ""20"": 2975, ""40"": 1115, ""60"": 900, ""80"": 960}"
14,1.411978764694278,0.8769586166413892,0.7192076235057927,0.07056199074292384,0.4194173604500394,1.518551288127899,0.2923383579854503,0.8270113478416767,18.40345404553645,0.56239555478096,8.626339653828665e-05,2604,"{""120"": 2975, ""20"": 2975, ""40"": 936, ""60"": 1044, ""80"": 995}"
15,1.3924419688377059,0.8607011702080735,0.7150305618959315,0.06961534167037291,0.4184407063592382,1.5179309072494507,0.29445334734735584,0.8284635663186318,18.212868943090093,0.562667127609253,6.659556791300648e-05,2790,"{""120"": 2975, ""20"": 2975, ""40"": 1060, ""60"": 928, ""80"": 987}"
16,1.3782705226866137,0.8495401140221027,0.7123583081189324,0.06852738853262252,0.4160954333653971,1.4974437828063965,0.30084453317004484,0.8285698313395257,18.241724640510043,0.5631928634643555,4.905530316557753e-05,2976,"{""120"": 2975, ""20"": 2975, ""40"": 1016, ""60"": 972, ""80"": 987}"
17,1.3642880143638418,0.8373157845224652,0.7096963886453324,0.06812715093628699,0.41598753117713605,1.4925811777114868,0.30372756772870135,0.8291953570532758,18.20374481249476,0.5634798622131347,3.407450182688275e-05,3162,"{""120"": 2975, ""20"": 2975, ""40"": 1004, ""60"": 884, ""80"": 1087}"
18,1.3498707875083475,0.8253261791758176,0.7084767204573175,0.06688027691941302,0.41370388786331946,1.4827410831451415,0.3032921098036987,0.8285746711325565,18.537808612016118,0.5669354410171509,2.202204094430994e-05,3348,"{""120"": 2975, ""20"": 2975, ""40"": 1028, ""60"": 991, ""80"": 956}"
19,1.3399273083189955,0.8166893266229068,0.7065099678720747,0.06670459136241624,0.41311361555291826,1.47721746635437,0.3054155422121846,0.8286157743023543,18.43495623228477,0.5675060315132141,1.3194692104612434e-05,3534,"{""120"": 2975, ""20"": 2975, ""40"": 923, ""60"": 980, ""80"": 1072}"
20,1.3377294965952384,0.8155054362481382,0.7049748426525533,0.06658726866004848,0.4125974751019678,1.4793299741744994,0.3033741585863383,0.826660357634051,18.532745002122002,0.5664451310634613,7.809813932514765e-06,3720,"{""120"": 2975, ""20"": 2975, ""40"": 1019, ""60"": 1000, ""80"": 956}"
