mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_fixed_count,mode_fixed_neural_encoder_decoder_count,mode_neural_encoder_decoder_count,mode_raw_count
semantic,200,SA,1,70.0,14920.4969965545,10.491691616145378,65.45892173204243,196.09590835543182,43.0,22.0,0.5733266902160565,0.44970238095238124,-16.85599229236863,0.0,0.0,43.0,27.0
semantic,200,SA,2,53.0,14754.69097134106,10.420609705027346,64.81130816448585,173.02698243006756,27.0,9.0,0.6461550875420563,0.5436320754716985,-16.293234881331284,0.0,0.0,27.0,26.0
semantic,200,SA,3,89.0,10835.039812833093,7.0767252950114505,47.70328119921245,175.01090902992777,56.0,32.0,0.5629580939762069,0.436329588014981,-15.62802416536334,0.0,0.0,56.0,33.0
semantic,200,SA,4,89.0,11036.353806505187,7.361627810956505,48.614863417308655,154.75051841489486,49.0,22.0,0.6175883322291811,0.5067883895131081,-15.073037053260077,0.0,0.0,49.0,40.0
semantic,200,SA,5,86.0,11646.831164275774,7.959320427135094,51.61531028753119,149.74382792749535,49.0,21.0,0.604248390330199,0.4895833333333333,-16.319815497896315,0.0,0.0,49.0,37.0
semantic,200,SA,6,92.0,12619.368822337083,8.76753644893512,55.74409999262942,149.07571712295666,47.0,19.0,0.645157940043182,0.5423460144927532,-15.023145767213224,0.0,0.0,47.0,45.0
semantic,200,SA,7,89.0,8763.801900258031,5.429733308583582,38.54642045637062,147.72223935439663,47.0,26.0,0.6331969717300311,0.5269194756554306,-13.763780611357726,0.0,0.0,47.0,42.0
semantic,200,SA,8,75.0,13697.877172943736,9.536858459447231,60.120381791210214,175.0450625267514,52.0,20.0,0.5184214426004484,0.37888888888888905,-17.05135746129731,0.0,0.0,52.0,23.0
semantic,200,SA,9,78.0,14797.732651085813,10.340840637369539,64.92744720875598,192.62235718513318,42.0,18.0,0.6259929842681,0.5176282051282051,-17.516893762807058,0.0,0.0,42.0,36.0
semantic,200,Greedy,0,209.0,2020.2418535889274,1.1106867538750507,9.289186332641496,19.391642484703215,207.0,0.0,0.3120622834350362,0.11273923444976099,-9.226845413832127,0.0,0.0,207.0,2.0
semantic,200,Greedy,1,172.0,3359.5073698321826,2.2086225351670374,14.954325952768743,21.548958979534657,169.0,0.0,0.31753038740615935,0.11979166666666666,-8.15099032490233,0.0,0.0,169.0,3.0
semantic,200,Greedy,2,173.0,1860.8879057661911,0.9127826866206439,8.532908194240658,20.053885385956516,167.0,0.0,0.32950517658633,0.13523603082851673,-9.46151586872978,0.0,0.0,167.0,6.0
semantic,200,Greedy,3,168.0,2833.8051895619406,1.7558752333811622,12.95106470179893,23.104234820809076,168.0,0.0,0.3054155422121858,0.10416666666666656,-11.152768652106651,0.0,0.0,168.0,0.0
semantic,200,Greedy,4,182.0,2386.7635577915757,1.2738848509955976,10.96945885096726,27.250534800581846,176.0,0.0,0.3283139309304658,0.13369963369963395,-10.353191310594845,0.0,0.0,176.0,6.0
semantic,200,Greedy,5,164.0,3479.3530535676377,2.275254298322457,15.649899285448875,24.71014741192554,162.0,0.0,0.31388608438032994,0.11509146341463412,-9.57610342807163,0.0,0.0,162.0,2.0
semantic,200,Greedy,6,168.0,3377.3137911697986,2.2315604493771177,15.11113462032153,22.01158050651418,165.0,0.0,0.3178188361012539,0.12016369047619054,-6.097547255161429,0.0,0.0,165.0,3.0
semantic,200,Greedy,7,168.0,3139.4743624377306,1.9488096128006698,14.269995157029195,27.505459104885826,163.0,0.0,0.3260876986939661,0.13082837301587324,-9.764885759992632,0.0,0.0,163.0,5.0
